GKSL,WKL,GKSL_encoded,WKL_encoded
우산 실종 ?,우산을 잃어버리셨나요?,"[2, 3498, 6516, 3051, 633, 3]","[2, 3498, 6516, 7088, 517, 7135, 6855, 6324, 6604, 5655, 6999, 258, 3]"
우산 없다 실종 ?,우산을 잃어버리셨나요?,"[2, 3498, 6516, 3273, 3051, 633, 3]","[2, 3498, 6516, 7088, 517, 7135, 6855, 6324, 6604, 5655, 6999, 258, 3]"
우산 찾다 실종 ?,우산을 잃어버리셨나요?,"[2, 3498, 6516, 517, 7404, 5782, 3051, 633, 3]","[2, 3498, 6516, 7088, 517, 7135, 6855, 6324, 6604, 5655, 6999, 258, 3]"
우산 사라지다 실종 ?,우산을 잃어버리셨나요?,"[2, 3498, 6516, 2583, 5782, 3051, 633, 3]","[2, 3498, 6516, 7088, 517, 7135, 6855, 6324, 6604, 5655, 6999, 258, 3]"
우산 잃어버리다 실종 ?,우산을 잃어버리셨나요?,"[2, 3498, 6516, 517, 7135, 6855, 6324, 5782, 3051, 633, 3]","[2, 3498, 6516, 7088, 517, 7135, 6855, 6324, 6604, 5655, 6999, 258, 3]"
우산 실종 잃어버리다 ?,우산을 잃어버리셨나요?,"[2, 3498, 6516, 3051, 517, 7135, 6855, 6324, 5782, 633, 3]","[2, 3498, 6516, 7088, 517, 7135, 6855, 6324, 6604, 5655, 6999, 258, 3]"
지갑 잃어버리다 ?,지갑을 분실하셨나요?,"[2, 4297, 5345, 517, 7135, 6855, 6324, 5782, 633, 3]","[2, 4297, 5345, 7088, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
지갑 없다 잃어버리다 ?,지갑을 분실하셨나요?,"[2, 4297, 5345, 3273, 517, 7135, 6855, 6324, 5782, 633, 3]","[2, 4297, 5345, 7088, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
지갑 실종 ?,지갑을 분실하셨나요?,"[2, 4297, 5345, 3051, 633, 3]","[2, 4297, 5345, 7088, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
지갑 없다 실종 ?,지갑을 분실하셨나요?,"[2, 4297, 5345, 3273, 3051, 633, 3]","[2, 4297, 5345, 7088, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
지갑 찾다 실종 ?,지갑을 분실하셨나요?,"[2, 4297, 5345, 517, 7404, 5782, 3051, 633, 3]","[2, 4297, 5345, 7088, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
지갑 사라지다 실종 ?,지갑을 분실하셨나요?,"[2, 4297, 5345, 2583, 5782, 3051, 633, 3]","[2, 4297, 5345, 7088, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
지갑 잃어버리다 실종 ?,지갑을 분실하셨나요?,"[2, 4297, 5345, 517, 7135, 6855, 6324, 5782, 3051, 633, 3]","[2, 4297, 5345, 7088, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
지갑 실종 잃어버리다 ?,지갑을 분실하셨나요?,"[2, 4297, 5345, 3051, 517, 7135, 6855, 6324, 5782, 633, 3]","[2, 4297, 5345, 7088, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
카드 잃어버리다 ?,카드를 분실하셨나요?,"[2, 4636, 517, 7135, 6855, 6324, 5782, 633, 3]","[2, 4636, 6116, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
카드 없다 잃어버리다 ?,카드를 분실하셨나요?,"[2, 4636, 3273, 517, 7135, 6855, 6324, 5782, 633, 3]","[2, 4636, 6116, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
카드 실종 ?,카드를 분실하셨나요?,"[2, 4636, 3051, 633, 3]","[2, 4636, 6116, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
카드 없다 실종 ?,카드를 분실하셨나요?,"[2, 4636, 3273, 3051, 633, 3]","[2, 4636, 6116, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
카드 찾다 실종 ?,카드를 분실하셨나요?,"[2, 4636, 517, 7404, 5782, 3051, 633, 3]","[2, 4636, 6116, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
카드 사라지다 실종 ?,카드를 분실하셨나요?,"[2, 4636, 2583, 5782, 3051, 633, 3]","[2, 4636, 6116, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
카드 잃어버리다 실종 ?,카드를 분실하셨나요?,"[2, 4636, 517, 7135, 6855, 6324, 5782, 3051, 633, 3]","[2, 4636, 6116, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
카드 실종 잃어버리다 ?,카드를 분실하셨나요?,"[2, 4636, 3051, 517, 7135, 6855, 6324, 5782, 633, 3]","[2, 4636, 6116, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
우회전 맞다 ?,우회전 맞으시죠?,"[2, 3498, 7953, 7207, 1970, 5782, 633, 3]","[2, 3498, 7953, 7207, 1970, 7074, 6705, 7275, 258, 3]"
우회전 확인 맞다 ?,우회전 맞으시죠?,"[2, 3498, 7953, 7207, 5130, 1970, 5782, 633, 3]","[2, 3498, 7953, 7207, 1970, 7074, 6705, 7275, 258, 3]"
우회전 맞다,우회전이 맞습니다.,"[2, 3498, 7953, 7207, 1970, 5782, 3]","[2, 3498, 7953, 7207, 7096, 1970, 6701, 54, 3]"
우회전 확인 맞다,우회전이 맞습니다.,"[2, 3498, 7953, 7207, 5130, 1970, 5782, 3]","[2, 3498, 7953, 7207, 7096, 1970, 6701, 54, 3]"
좌회전 맞다 ?,좌회전 맞으시죠?,"[2, 4211, 7953, 7207, 1970, 5782, 633, 3]","[2, 4211, 7953, 7207, 1970, 7074, 6705, 7275, 258, 3]"
좌회전 확인 맞다 ?,좌회전 맞으시죠?,"[2, 4211, 7953, 7207, 5130, 1970, 5782, 633, 3]","[2, 4211, 7953, 7207, 1970, 7074, 6705, 7275, 258, 3]"
좌회전 맞다,좌회전이 맞습니다.,"[2, 4211, 7953, 7207, 1970, 5782, 3]","[2, 4211, 7953, 7207, 7096, 1970, 6701, 54, 3]"
좌회전 확인 맞다,좌회전이 맞습니다.,"[2, 4211, 7953, 7207, 5130, 1970, 5782, 3]","[2, 4211, 7953, 7207, 7096, 1970, 6701, 54, 3]"
우산 실종,우산을 분실하였습니다.,"[2, 3498, 6516, 3051, 3]","[2, 3498, 6516, 7088, 2468, 6738, 7782, 6948, 54, 3]"
우산 없다 실종,우산을 분실하였습니다.,"[2, 3498, 6516, 3273, 3051, 3]","[2, 3498, 6516, 7088, 2468, 6738, 7782, 6948, 54, 3]"
우산 찾다 실종,우산을 분실하였습니다.,"[2, 3498, 6516, 517, 7404, 5782, 3051, 3]","[2, 3498, 6516, 7088, 2468, 6738, 7782, 6948, 54, 3]"
우산 사라지다 실종,우산을 분실하였습니다.,"[2, 3498, 6516, 2583, 5782, 3051, 3]","[2, 3498, 6516, 7088, 2468, 6738, 7782, 6948, 54, 3]"
우산 잃어버리다 실종,우산을 분실하였습니다.,"[2, 3498, 6516, 517, 7135, 6855, 6324, 5782, 3051, 3]","[2, 3498, 6516, 7088, 2468, 6738, 7782, 6948, 54, 3]"
우산 실종 잃어버리다,우산을 분실하였습니다.,"[2, 3498, 6516, 3051, 517, 7135, 6855, 6324, 5782, 3]","[2, 3498, 6516, 7088, 2468, 6738, 7782, 6948, 54, 3]"
사진기 잃어버리다,카메라를 분실하였습니다.,"[2, 2627, 5561, 517, 7135, 6855, 6324, 5782, 3]","[2, 4639, 6116, 2468, 6738, 7782, 6948, 54, 3]"
사진기 없다 잃어버리다,카메라를 분실하였습니다.,"[2, 2627, 5561, 3273, 517, 7135, 6855, 6324, 5782, 3]","[2, 4639, 6116, 2468, 6738, 7782, 6948, 54, 3]"
사진기 실종,카메라를 분실하였습니다.,"[2, 2627, 5561, 3051, 3]","[2, 4639, 6116, 2468, 6738, 7782, 6948, 54, 3]"
사진기 없다 실종,카메라를 분실하였습니다.,"[2, 2627, 5561, 3273, 3051, 3]","[2, 4639, 6116, 2468, 6738, 7782, 6948, 54, 3]"
사진기 찾다 실종,카메라를 분실하였습니다.,"[2, 2627, 5561, 517, 7404, 5782, 3051, 3]","[2, 4639, 6116, 2468, 6738, 7782, 6948, 54, 3]"
사진기 사라지다 실종,카메라를 분실하였습니다.,"[2, 2627, 5561, 2583, 5782, 3051, 3]","[2, 4639, 6116, 2468, 6738, 7782, 6948, 54, 3]"
가방 잃어버리다,가방을 잃어버렸습니다.,"[2, 752, 517, 7135, 6855, 6324, 5782, 3]","[2, 752, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
가방 없다 잃어버리다,가방을 잃어버렸습니다.,"[2, 752, 3273, 517, 7135, 6855, 6324, 5782, 3]","[2, 752, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
가방 실종,가방을 잃어버렸습니다.,"[2, 752, 3051, 3]","[2, 752, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
가방 없다 실종,가방을 잃어버렸습니다.,"[2, 752, 3273, 3051, 3]","[2, 752, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
가방 찾다 실종,가방을 잃어버렸습니다.,"[2, 752, 517, 7404, 5782, 3051, 3]","[2, 752, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
가방 사라지다 실종,가방을 잃어버렸습니다.,"[2, 752, 2583, 5782, 3051, 3]","[2, 752, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
가방 잃어버리다 실종,가방을 잃어버렸습니다.,"[2, 752, 517, 7135, 6855, 6324, 5782, 3051, 3]","[2, 752, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
가방 실종 잃어버리다,가방을 잃어버렸습니다.,"[2, 752, 3051, 517, 7135, 6855, 6324, 5782, 3]","[2, 752, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
아이 잃어버리다,아이를 잃어버렸습니다.,"[2, 3121, 517, 7135, 6855, 6324, 5782, 3]","[2, 3121, 6116, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
아이 없다 잃어버리다,아이를 잃어버렸습니다.,"[2, 3121, 3273, 517, 7135, 6855, 6324, 5782, 3]","[2, 3121, 6116, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
아이 실종,아이를 잃어버렸습니다.,"[2, 3121, 3051, 3]","[2, 3121, 6116, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
아이 없다 실종,아이를 잃어버렸습니다.,"[2, 3121, 3273, 3051, 3]","[2, 3121, 6116, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
아이 찾다 실종,아이를 잃어버렸습니다.,"[2, 3121, 517, 7404, 5782, 3051, 3]","[2, 3121, 6116, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
아이 사라지다 실종,아이를 잃어버렸습니다.,"[2, 3121, 2583, 5782, 3051, 3]","[2, 3121, 6116, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
아이 잃어버리다 실종,아이를 잃어버렸습니다.,"[2, 3121, 517, 7135, 6855, 6324, 5782, 3051, 3]","[2, 3121, 6116, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
아이 실종 잃어버리다,아이를 잃어버렸습니다.,"[2, 3121, 3051, 517, 7135, 6855, 6324, 5782, 3]","[2, 3121, 6116, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
지갑 찾다 실종,지갑을 잃어버렸습니다.,"[2, 4297, 5345, 517, 7404, 5782, 3051, 3]","[2, 4297, 5345, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
지갑 사라지다 실종,지갑을 잃어버렸습니다.,"[2, 4297, 5345, 2583, 5782, 3051, 3]","[2, 4297, 5345, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
지갑 잃어버리다 실종,지갑을 잃어버렸습니다.,"[2, 4297, 5345, 517, 7135, 6855, 6324, 5782, 3051, 3]","[2, 4297, 5345, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
지갑 실종 잃어버리다,지갑을 잃어버렸습니다.,"[2, 4297, 5345, 3051, 517, 7135, 6855, 6324, 5782, 3]","[2, 4297, 5345, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
안경 찾다 실종,안경을 잃어버렸습니다.,"[2, 3135, 5424, 517, 7404, 5782, 3051, 3]","[2, 3135, 5424, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
안경 사라지다 실종,안경을 잃어버렸습니다.,"[2, 3135, 5424, 2583, 5782, 3051, 3]","[2, 3135, 5424, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
안경 잃어버리다 실종,안경을 잃어버렸습니다.,"[2, 3135, 5424, 517, 7135, 6855, 6324, 5782, 3051, 3]","[2, 3135, 5424, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
안경 실종 잃어버리다,안경을 잃어버렸습니다.,"[2, 3135, 5424, 3051, 517, 7135, 6855, 6324, 5782, 3]","[2, 3135, 5424, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
핸드폰 잃어버리다,휴대폰을 잃어버렸습니다.,"[2, 517, 7861, 7736, 517, 7135, 6855, 6324, 5782, 3]","[2, 5194, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
핸드폰 없다 잃어버리다,휴대폰을 잃어버렸습니다.,"[2, 517, 7861, 7736, 3273, 517, 7135, 6855, 6324, 5782, 3]","[2, 5194, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
핸드폰 실종,휴대폰을 잃어버렸습니다.,"[2, 517, 7861, 7736, 3051, 3]","[2, 5194, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
핸드폰 없다 실종,휴대폰을 잃어버렸습니다.,"[2, 517, 7861, 7736, 3273, 3051, 3]","[2, 5194, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
핸드폰 찾다 실종,휴대폰을 잃어버렸습니다.,"[2, 517, 7861, 7736, 517, 7404, 5782, 3051, 3]","[2, 5194, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
핸드폰 사라지다 실종,휴대폰을 잃어버렸습니다.,"[2, 517, 7861, 7736, 2583, 5782, 3051, 3]","[2, 5194, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
핸드폰 잃어버리다 실종,휴대폰을 잃어버렸습니다.,"[2, 517, 7861, 7736, 517, 7135, 6855, 6324, 5782, 3051, 3]","[2, 5194, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
핸드폰 실종 잃어버리다,휴대폰을 잃어버렸습니다.,"[2, 517, 7861, 7736, 3051, 517, 7135, 6855, 6324, 5782, 3]","[2, 5194, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
카드 잃어버리다,카드를 잃어버렸습니다.,"[2, 4636, 517, 7135, 6855, 6324, 5782, 3]","[2, 4636, 6116, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
카드 없다 잃어버리다,카드를 잃어버렸습니다.,"[2, 4636, 3273, 517, 7135, 6855, 6324, 5782, 3]","[2, 4636, 6116, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
카드 실종,카드를 잃어버렸습니다.,"[2, 4636, 3051, 3]","[2, 4636, 6116, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
카드 없다 실종,카드를 잃어버렸습니다.,"[2, 4636, 3273, 3051, 3]","[2, 4636, 6116, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
카드 찾다 실종,카드를 잃어버렸습니다.,"[2, 4636, 517, 7404, 5782, 3051, 3]","[2, 4636, 6116, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
카드 사라지다 실종,카드를 잃어버렸습니다.,"[2, 4636, 2583, 5782, 3051, 3]","[2, 4636, 6116, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
유턴 맞다 ?,유턴 맞으시죠?,"[2, 3574, 7612, 1970, 5782, 633, 3]","[2, 3574, 7612, 1970, 7074, 6705, 7275, 258, 3]"
유턴 맞다,유턴 맞습니다.,"[2, 3574, 7612, 1970, 5782, 3]","[2, 3574, 7612, 1970, 6701, 54, 3]"
차밀리다 기다리다 ?,차가 막히나요?,"[2, 4402, 6267, 6122, 5782, 1266, 5782, 633, 3]","[2, 4402, 5330, 1927, 7996, 5655, 6999, 258, 3]"
차밀리다 ?,차가 막히나요?,"[2, 4402, 6267, 6122, 5782, 633, 3]","[2, 4402, 5330, 1927, 7996, 5655, 6999, 258, 3]"
차밀리다 심하다 ?,차가 막히나요?,"[2, 4402, 6267, 6122, 5782, 3060, 7798, 633, 3]","[2, 4402, 5330, 1927, 7996, 5655, 6999, 258, 3]"
차밀리다 괜찮다 ?,"차가 막히는데, 괜찮으세요?","[2, 4402, 6267, 6122, 5782, 1100, 5782, 633, 3]","[2, 4402, 5330, 1927, 7996, 5761, 46, 1100, 7074, 6586, 258, 3]"
차밀리다 시간 괜찮다 ?,"차가 막히는데, 괜찮으세요?","[2, 4402, 6267, 6122, 5782, 2962, 1100, 5782, 633, 3]","[2, 4402, 5330, 1927, 7996, 5761, 46, 1100, 7074, 6586, 258, 3]"
차밀리다 기다리다,차가 막힙니다.,"[2, 4402, 6267, 6122, 5782, 1266, 5782, 3]","[2, 4402, 5330, 1927, 8001, 5772, 54, 3]"
차밀리다,차가 막힙니다.,"[2, 4402, 6267, 6122, 5782, 3]","[2, 4402, 5330, 1927, 8001, 5772, 54, 3]"
차밀리다 심하다,차가 막힙니다.,"[2, 4402, 6267, 6122, 5782, 3060, 7798, 3]","[2, 4402, 5330, 1927, 8001, 5772, 54, 3]"
차밀리다 괜찮다,차가 막혀도 괜찮습니다.,"[2, 4402, 6267, 6122, 5782, 1100, 5782, 3]","[2, 4402, 5330, 1927, 7899, 5859, 1100, 6701, 54, 3]"
차밀리다 시간 괜찮다,차가 막혀도 괜찮습니다.,"[2, 4402, 6267, 6122, 5782, 2962, 1100, 5782, 3]","[2, 4402, 5330, 1927, 7899, 5859, 1100, 6701, 54, 3]"
돈 ?,현금이세요?,"[2, 1730, 633, 3]","[2, 5050, 7096, 6586, 258, 3]"
돈,현금입니다.,"[2, 1730, 3]","[2, 5050, 7139, 54, 3]"
카드 되다 ?,카드도 되나요?,"[2, 4636, 1763, 5782, 633, 3]","[2, 4636, 5859, 1763, 5655, 6999, 258, 3]"
카드,카드도 됩니다.,"[2, 4636, 3]","[2, 4636, 5859, 517, 5906, 54, 3]"
카드 되다,카드도 됩니다.,"[2, 4636, 1763, 5782, 3]","[2, 4636, 5859, 517, 5906, 54, 3]"
카드 가능,카드도 됩니다.,"[2, 4636, 737, 3]","[2, 4636, 5859, 517, 5906, 54, 3]"
영수증 필요 ?,영수증 필요하세요?,"[2, 3376, 6629, 7316, 4919, 633, 3]","[2, 3376, 6629, 7316, 4919, 7814, 258, 3]"
영수증 원하다 ?,영수증 필요하세요?,"[2, 3376, 6629, 7316, 3533, 7798, 633, 3]","[2, 3376, 6629, 7316, 4919, 7814, 258, 3]"
사진기 잃어버리다 실종,카메라를 분실하였습니다.,"[2, 2627, 5561, 517, 7135, 6855, 6324, 5782, 3051, 3]","[2, 4639, 6116, 2468, 6738, 7782, 6948, 54, 3]"
사진기 실종 잃어버리다,카메라를 분실하였습니다.,"[2, 2627, 5561, 3051, 517, 7135, 6855, 6324, 5782, 3]","[2, 4639, 6116, 2468, 6738, 7782, 6948, 54, 3]"
시계 잃어버리다,시계를 분실하였습니다.,"[2, 2959, 5436, 517, 7135, 6855, 6324, 5782, 3]","[2, 2959, 5436, 6116, 2468, 6738, 7782, 6948, 54, 3]"
시계 없다 잃어버리다,시계를 분실하였습니다.,"[2, 2959, 5436, 3273, 517, 7135, 6855, 6324, 5782, 3]","[2, 2959, 5436, 6116, 2468, 6738, 7782, 6948, 54, 3]"
시계 실종,시계를 분실하였습니다.,"[2, 2959, 5436, 3051, 3]","[2, 2959, 5436, 6116, 2468, 6738, 7782, 6948, 54, 3]"
시계 없다 실종,시계를 분실하였습니다.,"[2, 2959, 5436, 3273, 3051, 3]","[2, 2959, 5436, 6116, 2468, 6738, 7782, 6948, 54, 3]"
시계 찾다 실종,시계를 분실하였습니다.,"[2, 2959, 5436, 517, 7404, 5782, 3051, 3]","[2, 2959, 5436, 6116, 2468, 6738, 7782, 6948, 54, 3]"
시계 사라지다 실종,시계를 분실하였습니다.,"[2, 2959, 5436, 2583, 5782, 3051, 3]","[2, 2959, 5436, 6116, 2468, 6738, 7782, 6948, 54, 3]"
시계 잃어버리다 실종,시계를 분실하였습니다.,"[2, 2959, 5436, 517, 7135, 6855, 6324, 5782, 3051, 3]","[2, 2959, 5436, 6116, 2468, 6738, 7782, 6948, 54, 3]"
시계 실종 잃어버리다,시계를 분실하였습니다.,"[2, 2959, 5436, 3051, 517, 7135, 6855, 6324, 5782, 3]","[2, 2959, 5436, 6116, 2468, 6738, 7782, 6948, 54, 3]"
반지 잃어버리다,반지를 분실하였습니다.,"[2, 2207, 7318, 517, 7135, 6855, 6324, 5782, 3]","[2, 2207, 7329, 2468, 6738, 7782, 6948, 54, 3]"
반지 없다 잃어버리다,반지를 분실하였습니다.,"[2, 2207, 7318, 3273, 517, 7135, 6855, 6324, 5782, 3]","[2, 2207, 7329, 2468, 6738, 7782, 6948, 54, 3]"
반지 실종,반지를 분실하였습니다.,"[2, 2207, 7318, 3051, 3]","[2, 2207, 7329, 2468, 6738, 7782, 6948, 54, 3]"
반지 없다 실종,반지를 분실하였습니다.,"[2, 2207, 7318, 3273, 3051, 3]","[2, 2207, 7329, 2468, 6738, 7782, 6948, 54, 3]"
반지 찾다 실종,반지를 분실하였습니다.,"[2, 2207, 7318, 517, 7404, 5782, 3051, 3]","[2, 2207, 7329, 2468, 6738, 7782, 6948, 54, 3]"
반지 사라지다 실종,반지를 분실하였습니다.,"[2, 2207, 7318, 2583, 5782, 3051, 3]","[2, 2207, 7329, 2468, 6738, 7782, 6948, 54, 3]"
반지 잃어버리다 실종,반지를 분실하였습니다.,"[2, 2207, 7318, 517, 7135, 6855, 6324, 5782, 3051, 3]","[2, 2207, 7329, 2468, 6738, 7782, 6948, 54, 3]"
반지 실종 잃어버리다,반지를 분실하였습니다.,"[2, 2207, 7318, 3051, 517, 7135, 6855, 6324, 5782, 3]","[2, 2207, 7329, 2468, 6738, 7782, 6948, 54, 3]"
노트북 잃어버리다,노트북을 잃어버렸습니다.,"[2, 1490, 517, 7135, 6855, 6324, 5782, 3]","[2, 1490, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
노트북 없다 잃어버리다,노트북을 잃어버렸습니다.,"[2, 1490, 3273, 517, 7135, 6855, 6324, 5782, 3]","[2, 1490, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
노트북 실종,노트북을 잃어버렸습니다.,"[2, 1490, 3051, 3]","[2, 1490, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
노트북 없다 실종,노트북을 잃어버렸습니다.,"[2, 1490, 3273, 3051, 3]","[2, 1490, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
노트북 찾다 실종,노트북을 잃어버렸습니다.,"[2, 1490, 517, 7404, 5782, 3051, 3]","[2, 1490, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
노트북 사라지다 실종,노트북을 잃어버렸습니다.,"[2, 1490, 2583, 5782, 3051, 3]","[2, 1490, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
불편하다,불편합니다.,"[2, 2499, 7798, 3]","[2, 2499, 7843, 54, 3]"
불편하다 ?,불편하세요?,"[2, 2499, 7798, 633, 3]","[2, 2499, 7814, 258, 3]"
화나다,화났습니다.,"[2, 5112, 5655, 5782, 3]","[2, 5112, 5671, 6701, 54, 3]"
화나다 ?,화나셨어요?,"[2, 5112, 5655, 5782, 633, 3]","[2, 5112, 5655, 6604, 6857, 258, 3]"
빨리 접근 ?,다와가나요?,"[2, 2563, 4087, 633, 3]","[2, 1562, 6983, 5330, 5655, 6999, 258, 3]"
빨리 접근 가능 ?,다와가나요?,"[2, 2563, 4087, 737, 633, 3]","[2, 1562, 6983, 5330, 5655, 6999, 258, 3]"
빨리 접근 되다 ?,다와가나요?,"[2, 2563, 4087, 1763, 5782, 633, 3]","[2, 1562, 6983, 5330, 5655, 6999, 258, 3]"
접근 도착 ?,다와가나요?,"[2, 4087, 1723, 633, 3]","[2, 1562, 6983, 5330, 5655, 6999, 258, 3]"
접근 도착 가능 ?,다와가나요?,"[2, 4087, 1723, 737, 633, 3]","[2, 1562, 6983, 5330, 5655, 6999, 258, 3]"
접근 도착 되다 ?,다와가나요?,"[2, 4087, 1723, 1763, 5782, 633, 3]","[2, 1562, 6983, 5330, 5655, 6999, 258, 3]"
빨리 접근,다와갑니다.,"[2, 2563, 4087, 3]","[2, 1562, 6983, 5345, 5772, 54, 3]"
빨리 접근 가능,다와갑니다.,"[2, 2563, 4087, 737, 3]","[2, 1562, 6983, 5345, 5772, 54, 3]"
빨리 접근 되다,다와갑니다.,"[2, 2563, 4087, 1763, 5782, 3]","[2, 1562, 6983, 5345, 5772, 54, 3]"
접근 도착,다와갑니다.,"[2, 4087, 1723, 3]","[2, 1562, 6983, 5345, 5772, 54, 3]"
접근 도착 가능,다와갑니다.,"[2, 4087, 1723, 737, 3]","[2, 1562, 6983, 5345, 5772, 54, 3]"
접근 도착 되다,다와갑니다.,"[2, 4087, 1723, 1763, 5782, 3]","[2, 1562, 6983, 5345, 5772, 54, 3]"
노트북 잃어버리다 실종,노트북을 잃어버렸습니다.,"[2, 1490, 517, 7135, 6855, 6324, 5782, 3051, 3]","[2, 1490, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
노트북 실종 잃어버리다,노트북을 잃어버렸습니다.,"[2, 1490, 3051, 517, 7135, 6855, 6324, 5782, 3]","[2, 1490, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
보청기 잃어버리다,보청기를 잃어버렸습니다.,"[2, 2355, 7431, 5561, 517, 7135, 6855, 6324, 5782, 3]","[2, 2355, 7431, 5573, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
보청기 없다 잃어버리다,보청기를 잃어버렸습니다.,"[2, 2355, 7431, 5561, 3273, 517, 7135, 6855, 6324, 5782, 3]","[2, 2355, 7431, 5573, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
보청기 실종,보청기를 잃어버렸습니다.,"[2, 2355, 7431, 5561, 3051, 3]","[2, 2355, 7431, 5573, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
보청기 없다 실종,보청기를 잃어버렸습니다.,"[2, 2355, 7431, 5561, 3273, 3051, 3]","[2, 2355, 7431, 5573, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
보청기 찾다 실종,보청기를 잃어버렸습니다.,"[2, 2355, 7431, 5561, 517, 7404, 5782, 3051, 3]","[2, 2355, 7431, 5573, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
끝,끝났습니다.,"[2, 1363, 3]","[2, 1363, 5671, 6701, 54, 3]"
수고,수고하셨습니다.,"[2, 2872, 5439, 3]","[2, 2872, 5439, 7782, 6604, 6701, 54, 3]"
편의점 어디 곳 ?,편의점은 어디에 있습니까?,"[2, 4835, 3223, 1021, 633, 3]","[2, 4835, 7086, 3223, 6896, 3854, 6700, 258, 3]"
편의점 곳 어디 ?,편의점은 어디에 있습니까?,"[2, 4835, 1021, 3223, 633, 3]","[2, 4835, 7086, 3223, 6896, 3854, 6700, 258, 3]"
편의점 어디 ?,편의점은 어디에 있습니까?,"[2, 4835, 3223, 633, 3]","[2, 4835, 7086, 3223, 6896, 3854, 6700, 258, 3]"
