,gloss,spoken,combined
5468,반지 딸 데려가다 걷다,공주를 데리고 산책하다,반지 딸 데려가다 걷다공주를 데리고 산책하다
5469,때 집 물 채우다,때가 나서 집이 물에 잠기고 있어요.,때 집 물 채우다때가 나서 집이 물에 잠기고 있어요.
5470,손 들다 대다 쏘다,꼼짝말고 손들어 대면 쏜다,손 들다 대다 쏘다꼼짝말고 손들어 대면 쏜다
5472,상세 곳,상세 승강장은 어디에 있습니까?,상세 곳상세 승강장은 어디에 있습니까?
5473,모두 혼자 방황,모두가 혼자 방황하고 있습니다.,모두 혼자 방황모두가 혼자 방황하고 있습니다.
5474,성 사용 불가능 안되다,성 인식이 안되나요?,성 사용 불가능 안되다성 인식이 안되나요?
5476,112 추가 부탁,112에 추가해주세요.,112 추가 부탁112에 추가해주세요.
5477,차 갑자기 멈추다,차가 갑자기 중간에 멈췄어요.,차 갑자기 멈추다차가 갑자기 중간에 멈췄어요.
5478,몸 크다 입다 불가능,몸이 너무 커서 입을 수 없다,몸 크다 입다 불가능몸이 너무 커서 입을 수 없다
5479,설명 불량 잘 안되다,설명이 안되나요?,설명 불량 잘 안되다설명이 안되나요?
5480,다음 어디,다음은 어디에 있습니까?,다음 어디다음은 어디에 있습니까?
5481,잊다 도,잊어서 도해,잊다 도잊어서 도해
5483,무덤 장소 차내리다,묘지로 가주세요.,무덤 장소 차내리다묘지로 가주세요.
5484,보물 곳 어디,보물은 어디에 있습니까?,보물 곳 어디보물은 어디에 있습니까?
5486,너 끌어안다,널 끌어안을게,너 끌어안다널 끌어안을게
5488,장사 잘 안되다,장사가 안되네요.,장사 잘 안되다장사가 안되네요.
5489,매일 하다 너무 귀찮다,매일 하는게 귀찮다,매일 하다 너무 귀찮다매일 하는게 귀찮다
5490,준비 고장 사용 불가능,준비가 안되네요.,준비 고장 사용 불가능준비가 안되네요.
5491,불완전 변하다 완전,불완전한 일은 없다,불완전 변하다 완전불완전한 일은 없다
5492,오늘 시작 해라,오늘부터 시작해라,오늘 시작 해라오늘부터 시작해라
5493,설명 사용 불가능 안되다,설명이 안되나요?,설명 사용 불가능 안되다설명이 안되나요?
5494,사랑 시절 잊다 쉽다 어렵다,사랑했던 시절을 잊는건 어렵다,사랑 시절 잊다 쉽다 어렵다사랑했던 시절을 잊는건 어렵다
5495,성 고장 잘 안되다,성 인식이 안되나요?,성 고장 잘 안되다성 인식이 안되나요?
5497,타다 중 맞다,타는 중이 맞나요?,타다 중 맞다타는 중이 맞나요?
5498,모두 쉼쉬다 안되다,모두가 숨을 안 쉬는 것 같아요.,모두 쉼쉬다 안되다모두가 숨을 안 쉬는 것 같아요.
5499,승리 위해 미리 준비 필요하다,승리를 위해 준비해야 한다,승리 위해 미리 준비 필요하다승리를 위해 준비해야 한다
5501,일 모임 실종 잃어버리다,일부를 분실하였습니다.,일 모임 실종 잃어버리다일부를 분실하였습니다.
5502,돈 바꾸다1 내 곳,환전은 내서 하나요?,돈 바꾸다1 내 곳환전은 내서 하나요?
5505,잠 빌리다 보다 차내리다,여관 좀 들렀다가주세요.,잠 빌리다 보다 차내리다여관 좀 들렀다가주세요.
5507,북 부 전 저기 곳 차내리다,북부정류장 못가서 내려주세요.,북 부 전 저기 곳 차내리다북부정류장 못가서 내려주세요.
5508,손가락 병 아프다,손가락이 아프다,손가락 병 아프다손가락이 아프다
5509,항공 잠 이것 곳 곳,공항 내 수면실이 이곳에 있나요?,항공 잠 이것 곳 곳공항 내 수면실이 이곳에 있나요?
5510,항상 하다 원하다,항상 하고 싶어,항상 하다 원하다항상 하고 싶어
5512,몸 아프다 이동 금방,이동이 빠르다,몸 아프다 이동 금방이동이 빠르다
5513,칭찬 맞다,칭찬 해드릴까요?,칭찬 맞다칭찬 해드릴까요?
5514,쌀 이용 공 만들다 먹다 끝,쌀로 공을 만들어 먹었다,쌀 이용 공 만들다 먹다 끝쌀로 공을 만들어 먹었다
5515,몸 넓이 크다 놀라다,몸집이 커서 놀라웠다,몸 넓이 크다 놀라다몸집이 커서 놀라웠다
5516,이익 손해 사용 잘 안되다,이해이 안되네요.,이익 손해 사용 잘 안되다이해이 안되네요.
5517,손가락 아프다,손가락이 아프다,손가락 아프다손가락이 아프다
5520,사랑 어디 곳,사랑은 어디에 있습니까?,사랑 어디 곳사랑은 어디에 있습니까?
5522,사슴 치다 빠르다,사슴이 치면 빠르다,사슴 치다 빠르다사슴이 치면 빠르다
5524,다리 잃어버리다,다리를 잃어버렸습니다.,다리 잃어버리다다리를 잃어버렸습니다.
5525,영어 고장 죽다,영어가 안되나요?,영어 고장 죽다영어가 안되나요?
5527,바람 저기 곳 다음 차내리다,바람 지나서 내려드릴까요?,바람 저기 곳 다음 차내리다바람 지나서 내려드릴까요?
5528,말 불량 사용 안되다,말이 안되나요?,말 불량 사용 안되다말이 안되나요?
5529,지금 마시다,여기서 마시시겠습니까?,지금 마시다여기서 마시시겠습니까?
5531,신 어디 곳,신은 어디에 있습니까?,신 어디 곳신은 어디에 있습니까?
5533,개 개 개다귀 삼키다,강아지가 개를 삼켰어요.,개 개 개다귀 삼키다강아지가 개를 삼켰어요.
5534,얼마 곳 다음 도착 차내리다,얼마 지나서 내려드릴까요?,얼마 곳 다음 도착 차내리다얼마 지나서 내려드릴까요?
5537,사용 돈 빌리다 곳 어디,요금 대여소가 어디에 있습니까?,사용 돈 빌리다 곳 어디요금 대여소가 어디에 있습니까?
5538,홍수 집 문 채우다,홍수가 나서 집이 문에 잠기고 있어요.,홍수 집 문 채우다홍수가 나서 집이 문에 잠기고 있어요.
5539,쉬다 -때 글자 뜻 읽다 끝,쉬는 시간에 글을 읽었어,쉬다 -때 글자 뜻 읽다 끝쉬는 시간에 글을 읽었어
5541,주차 2번 곳 그 곳,제2 주차장은 저기에 있습니까?,주차 2번 곳 그 곳제2 주차장은 저기에 있습니까?
5542,중국 먹다 여기,중식집이 여기에 있습니까?,중국 먹다 여기중식집이 여기에 있습니까?
5545,학교 전 차내리다,학교 못가서 내려주세요.,학교 전 차내리다학교 못가서 내려주세요.
5546,정보 곳 가깝다,근처에 정보 정류장이 있습니다.,정보 곳 가깝다근처에 정보 정류장이 있습니다.
5547,나 얘기 듣다 제발,내 얘기 좀 들어봐,나 얘기 듣다 제발내 얘기 좀 들어봐
5548,쉬다 -때 머리 속 읽다 끝,쉬는 시간에 머릿속을 읽었어,쉬다 -때 머리 속 읽다 끝쉬는 시간에 머릿속을 읽었어
5549,말 어렵다,말이 어려웠다,말 어렵다말이 어려웠다
5551,비교 불량,비교가 안되네요.,비교 불량비교가 안되네요.
5552,시간 곳 다음 내리다,시간 지나서 내려주세요.,시간 곳 다음 내리다시간 지나서 내려주세요.
5553,조금 다음 도착 내리다,조금 지나서 내려주세요.,조금 다음 도착 내리다조금 지나서 내려주세요.
5554,주인공 혼자 살다 불가능,주인공은 혼자서 살 수 없다,주인공 혼자 살다 불가능주인공은 혼자서 살 수 없다
5556,누구 때문에 못하다,누구 때문에 못했잖아,누구 때문에 못하다누구 때문에 못했잖아
5557,나 말 행복 살다,우리 말은 행복하게 살고 있다,나 말 행복 살다우리 말은 행복하게 살고 있다
5558,전주 가다,전주대학교로 가주세요.,전주 가다전주대학교로 가주세요.
5560,성 -안에 사람 없다,성안에는 아무도 없다,성 -안에 사람 없다성안에는 아무도 없다
5561,보물 길 곳,보물은 어디에 있나요?,보물 길 곳보물은 어디에 있나요?
5563,몸 몸 끼다,몸에 몸이 끼었어요.,몸 몸 끼다몸에 몸이 끼었어요.
5564,영화 쓰다,영화를 쓰다,영화 쓰다영화를 쓰다
5565,언어 사용 잘 안되다,언어 인식이 안되나요?,언어 사용 잘 안되다언어 인식이 안되나요?
5566,사랑 부르다,사랑을 불러드릴까요?,사랑 부르다사랑을 불러드릴까요?
5567,다음 -때 쉬다 원하다,다음에 쉬고 싶어,다음 -때 쉬다 원하다다음에 쉬고 싶어
5568,일 끝 학교 가다,일을 끝내고 학교에 갔어,일 끝 학교 가다일을 끝내고 학교에 갔어
5575,가다 곳 맞다,가는 곳이 맞나요?,가다 곳 맞다가는 곳이 맞나요?
5578,모두 생각 쉽다 아니다,모든 생각이 쉽게 이루어지지 않는다,모두 생각 쉽다 아니다모든 생각이 쉽게 이루어지지 않는다
5579,먹다 일 베다,일을 하다가 손가락을 칼에 베였어요.,먹다 일 베다일을 하다가 손가락을 칼에 베였어요.
5580,시 지다 방문 감사,김포시청을 이용해 주셔서 감사합니다.,시 지다 방문 감사김포시청을 이용해 주셔서 감사합니다.
5581,아이 키우다,아이를 키우다,아이 키우다아이를 키우다
5583,배 여기 되다,여기서 배를 탈 수 있나요?,배 여기 되다여기서 배를 탈 수 있나요?
5584,목소리 작다 힘 세다,목소리는 작아도 힘은 세다,목소리 작다 힘 세다목소리는 작아도 힘은 세다
5585,정보 보다 중,정보를 보고있습니다.,정보 보다 중정보를 보고있습니다.
5586,말 힘들다 마음 편하다,말은 힘들지만 마음을 편하다,말 힘들다 마음 편하다말은 힘들지만 마음을 편하다
5588,누가 비행기 추락,어떤 사람이 비행기에서 추락했어요.,누가 비행기 추락어떤 사람이 비행기에서 추락했어요.
5590,지갑 실종,지갑을 잃어버렸습니다.,지갑 실종지갑을 잃어버렸습니다.
5591,마음 병 아프다,마음이 아프다,마음 병 아프다마음이 아프다
5592,너무 기쁘다 물 흘리다,너무 기뻐서 물이 흘렀다,너무 기쁘다 물 흘리다너무 기뻐서 물이 흘렀다
5594,주차 1번 곳 여기,제1 주차장은 여기에 있습니까?,주차 1번 곳 여기제1 주차장은 여기에 있습니까?
5598,눈 작다,눈이 작다,눈 작다눈이 작다
5599,반지 딸 목적 가다,공주대학교로 갈까요?,반지 딸 목적 가다공주대학교로 갈까요?
5600,나 대하여 질문 무엇 궁금하다,나에 대한 질문이 궁금하다,나 대하여 질문 무엇 궁금하다나에 대한 질문이 궁금하다
5601,교통카드 이용,교통카드 이용해주세요.,교통카드 이용교통카드 이용해주세요.
5604,참 정직 길,진실은 어디에 있나요?,참 정직 길진실은 어디에 있나요?
5605,젊다 꼬마 여자 곳곳,소녀는 어디에 있나요?,젊다 꼬마 여자 곳곳소녀는 어디에 있나요?
5606,마귀 여자 장난감 먹다 삼키다,마녀가 장난감을 삼켰어요.,마귀 여자 장난감 먹다 삼키다마녀가 장난감을 삼켰어요.
5608,중앙 곳 다음 내리다,중앙정류장 지나서 내려드릴까요?,중앙 곳 다음 내리다중앙정류장 지나서 내려드릴까요?
5610,몸 넓이 크다,몸집이 크다,몸 넓이 크다몸집이 크다
5612,누가 건물 발견,어떤 사람이 건물에서 발견했어요.,누가 건물 발견어떤 사람이 건물에서 발견했어요.
5613,꿈 곳,꿈은 어디에 있나요?,꿈 곳꿈은 어디에 있나요?
5614,부모 나 함께 울다 -중,부모님과 함께 울고 있다,부모 나 함께 울다 -중부모님과 함께 울고 있다
5617,짓 무엇,무슨 짓해,짓 무엇무슨 짓해
5618,자유 잃어버리다,자유를 잃어버리셨나요?,자유 잃어버리다자유를 잃어버리셨나요?
5619,캐리어 무게 문 어디,캐리어 무게를 재는 문은 어디인가요?,캐리어 무게 문 어디캐리어 무게를 재는 문은 어디인가요?
5624,버스 전 곳 저기,버스정류장 못가서 내려주세요.,버스 전 곳 저기버스정류장 못가서 내려주세요.
5625,캐리어 무게 여기 곳,캐리어 무게를 재는 곳은 여기인가요?,캐리어 무게 여기 곳캐리어 무게를 재는 곳은 여기인가요?
5627,지문 사용 안되다 고장,지문 인식이 안되네요.,지문 사용 안되다 고장지문 인식이 안되네요.
5628,조금 부상 내리다,경상대학교로 가주세요.,조금 부상 내리다경상대학교로 가주세요.
5629,병원 전 곳,병원 못가서 내려주세요.,병원 전 곳병원 못가서 내려주세요.
5630,병 바꾸다 고장 죽다,치료가 안되나요?,병 바꾸다 고장 죽다치료가 안되나요?
5631,4계절 순환 끝 봄 빨리 다가오다,계절이 끝나면 봄이 온다,4계절 순환 끝 봄 빨리 다가오다계절이 끝나면 봄이 온다
5633,생각 꿈 끝 일 오늘 시작,상상했던 일을 실천했다,생각 꿈 끝 일 오늘 시작상상했던 일을 실천했다
5635,그 곳 쓰러지다,그곳에 사람이 쓰러져 있어요.,그 곳 쓰러지다그곳에 사람이 쓰러져 있어요.
5637,도깨비 깊다 지하 차내리다 오케이,지옥으로 가주세요.,도깨비 깊다 지하 차내리다 오케이지옥으로 가주세요.
5641,마음 달리다 빠르다,마음이 달리면 빠르다,마음 달리다 빠르다마음이 달리면 빠르다
5644,언어 불량 사용 안되다,언어 인식이 안되나요?,언어 불량 사용 안되다언어 인식이 안되나요?
5645,사람 미치다 병 물다,광견병에 걸린 사람에게 물렸어요.,사람 미치다 병 물다광견병에 걸린 사람에게 물렸어요.
5646,핸드폰 수리 곳,휴대폰을 수리할 수 있는 곳이 어디입니까?,핸드폰 수리 곳휴대폰을 수리할 수 있는 곳이 어디입니까?
5647,애 감기 전염 같다,애한테 감기 옮은 것 같다,애 감기 전염 같다애한테 감기 옮은 것 같다
5649,위로 의미 같다,위로할 의미가 있을것 같아,위로 의미 같다위로할 의미가 있을것 같아
5650,이익 손해 편하다 생각 하지마,쉽게 이해 할 생각하지 마라,이익 손해 편하다 생각 하지마쉽게 이해 할 생각하지 마라
5652,집 물 넘어오다,집에 물이 들어왔어요.,집 물 넘어오다집에 물이 들어왔어요.
5653,상처 받다 사랑,상처 받았다면 사랑해,상처 받다 사랑상처 받았다면 사랑해
5654,숨다 성질 사용 잘 안되다,음성 인식이 안되네요.,숨다 성질 사용 잘 안되다음성 인식이 안되네요.
5656,자기 몸 자연히 때문에 못하다,자기 때문에 못했잖아,자기 몸 자연히 때문에 못하다자기 때문에 못했잖아
5660,남 지역 곳 다음 여기,남부정류장 지나서 내려드릴까요?,남 지역 곳 다음 여기남부정류장 지나서 내려드릴까요?
5662,차 빌리다 누구,렌트카를 빌리는 곳은 누구에 있습니까?,차 빌리다 누구렌트카를 빌리는 곳은 누구에 있습니까?
5663,보물 실종,보물을 분실하였습니다.,보물 실종보물을 분실하였습니다.
5664,은행 어느 시간,은행은 언제에 있습니까?,은행 어느 시간은행은 언제에 있습니까?
5665,전주 내리다,전주대학교로 가주세요.,전주 내리다전주대학교로 가주세요.
5667,나 대전 뛰다 -중,나는 대전에 뛰고 있어,나 대전 뛰다 -중나는 대전에 뛰고 있어
5672,미소 없다 잃어버리다,미소를 잃어버렸습니다.,미소 없다 잃어버리다미소를 잃어버렸습니다.
5673,도착 길 알려주다,도착 길을 알려드릴까요?,도착 길 알려주다도착 길을 알려드릴까요?
5674,활동 보류 자연 미루다,활동이 보류되어 미루게 되었다,활동 보류 자연 미루다활동이 보류되어 미루게 되었다
5675,뜻 공부 문 가다,과학 단지 안으로 가주세요.,뜻 공부 문 가다과학 단지 안으로 가주세요.
5677,피 흐르다 보다,피를 보고 있다,피 흐르다 보다피를 보고 있다
5678,미래 사라지다 실종,미래를 잃어버리셨나요?,미래 사라지다 실종미래를 잃어버리셨나요?
5679,마음 더럽다 심하다 빨래,마음이 너무 더러워서 빨았어,마음 더럽다 심하다 빨래마음이 너무 더러워서 빨았어
5680,내용 아프다 원인 모두 귀찮다,내용이 아파서 다 귀찮다,내용 아프다 원인 모두 귀찮다내용이 아파서 다 귀찮다
5681,다리 없다 실종,다리를 잃어버렸습니다.,다리 없다 실종다리를 잃어버렸습니다.
5682,밤 -때 쉬다 원하다,밤에 쉬고 싶어,밤 -때 쉬다 원하다밤에 쉬고 싶어
5683,은행 입금 받다,계좌입금 알려주세요,은행 입금 받다계좌입금 알려주세요
5685,커피 그 곳 곳,커피숍은 저기에 있습니까?,커피 그 곳 곳커피숍은 저기에 있습니까?
5686,거미 장난감 먹다 삼키다,거미가 장난감을 삼켰어요.,거미 장난감 먹다 삼키다거미가 장난감을 삼켰어요.
5687,가다,네. 가겠습니다.,가다네. 가겠습니다.
5688,공장 일 안 가다,공업 단지 안으로 가주세요.,공장 일 안 가다공업 단지 안으로 가주세요.
5689,날 춥다 따뜻하다 들다 가다,날이 추우니 따뜻하게 들고 가,날 춥다 따뜻하다 들다 가다날이 추우니 따뜻하게 들고 가
5691,집 배달 확인증 필요,택배 지연 증명서 발급해주세요.,집 배달 확인증 필요택배 지연 증명서 발급해주세요.
5693,땅,땅에서 내려드릴까요?,땅땅에서 내려드릴까요?
5694,바람 -때 맛 좋다,바람이 불면 맛이 좋다,바람 -때 맛 좋다바람이 불면 맛이 좋다
5695,오늘 하루 도,오늘도 도 많으셨습니다.,오늘 하루 도오늘도 도 많으셨습니다.
5697,보물 곳,보물이 어디에 있나요?,보물 곳보물이 어디에 있나요?
5698,애인 만나다 위하다 외국 가다,애인을 만나러 외국에 갔다,애인 만나다 위하다 외국 가다애인을 만나러 외국에 갔다
5699,할 수 있다 힘 없다,능력이 없다,할 수 있다 힘 없다능력이 없다
5700,사용 돈 빌리다 곳,요금 대여소가 어디에 있습니까?,사용 돈 빌리다 곳요금 대여소가 어디에 있습니까?
5701,책 잃어버리다 실종,책을 분실하셨나요?,책 잃어버리다 실종책을 분실하셨나요?
5702,아기 자유 빌리다 어디 곳,자유 대여소가 어디에 있습니까?,아기 자유 빌리다 어디 곳자유 대여소가 어디에 있습니까?
5704,아기 영혼 먹다 삼키다,아기가 영혼을 삼켰어요.,아기 영혼 먹다 삼키다아기가 영혼을 삼켰어요.
5705,저기 방 안에 밤 있다,저방에 밤이 있어,저기 방 안에 밤 있다저방에 밤이 있어
5709,일 모임 잃어버리다 실종,일부를 분실하였습니다.,일 모임 잃어버리다 실종일부를 분실하였습니다.
5710,나 차내리다 맞다,나서 내려주세요.,나 차내리다 맞다나서 내려주세요.
5712,모두 숨 힘들다,모두가 숨을 안 쉬어요.,모두 숨 힘들다모두가 숨을 안 쉬어요.
5713,임시 빌리다 곳,임시 대여소가 어디에 있습니까?,임시 빌리다 곳임시 대여소가 어디에 있습니까?
5714,설명 고장 사용 안되다,설명이 안되네요.,설명 고장 사용 안되다설명이 안되네요.
5715,배 안내하다 도와주다,배 타는 것 좀 도와드릴까요?,배 안내하다 도와주다배 타는 것 좀 도와드릴까요?
5719,무엇 말 나다 맞다,무슨 말이 생긴건 아니야,무엇 말 나다 맞다무슨 말이 생긴건 아니야
5720,미소 사라지다 실종,미소를 잃어버렸습니다.,미소 사라지다 실종미소를 잃어버렸습니다.
5721,좌회전 먹다,좌회전 먹으시죠?,좌회전 먹다좌회전 먹으시죠?
5723,나 말 걸다 아니다 왜,왜 내말을 걸지 않아,나 말 걸다 아니다 왜왜 내말을 걸지 않아
5725,지금 하다,여기서 하시겠습니까?,지금 하다여기서 하시겠습니까?
5726,배고프다 짝 없다,배고파서 짝이 없다,배고프다 짝 없다배고파서 짝이 없다
5727,나타나다 반갑다,나타나서 반갑습니다.,나타나다 반갑다나타나서 반갑습니다.
5729,차 내리다,차에서 내려드릴까요?,차 내리다차에서 내려드릴까요?
5730,말 사용 안되다 고장,말이 안되나요?,말 사용 안되다 고장말이 안되나요?
5731,시간 다음,시간 지나서 내려주세요.,시간 다음시간 지나서 내려주세요.
5733,여기 도로 되다,여기서 도로를  탈 수 있습니다.,여기 도로 되다여기서 도로를  탈 수 있습니다.
5734,성격 나쁘다,성격은 나쁘다,성격 나쁘다성격은 나쁘다
5735,비행기 구경 가능,비행기를 구경 할 수 있을까요?,비행기 구경 가능비행기를 구경 할 수 있을까요?
5737,돈 보증 석방 실종,보석을 분실하였습니다.,돈 보증 석방 실종보석을 분실하였습니다.
5738,누가 집 추락,어떤 사람이 집에서 추락했어요.,누가 집 추락어떤 사람이 집에서 추락했어요.
5743,살다 사람,주민센터는 어디에 있습니까?,살다 사람주민센터는 어디에 있습니까?
5745,뜻 공부 안 곳,과학 단지 안으로 가주세요.,뜻 공부 안 곳과학 단지 안으로 가주세요.
5746,시작,시작합니다.,시작시작합니다.
5747,T 승용차 곳 차내리다 맞다,택시정류장에서 내려주세요.,T 승용차 곳 차내리다 맞다택시정류장에서 내려주세요.
5751,보물 곳 무엇,보물이 어디에 있나요?,보물 곳 무엇보물이 어디에 있나요?
5752,공장 일 안 도착,공업 단지 안으로 가주세요.,공장 일 안 도착공업 단지 안으로 가주세요.
5754,영어 더 배우다 원하다,영어를 더 배우고 싶다,영어 더 배우다 원하다영어를 더 배우고 싶다
5755,바다 가깝다 곳 개구리 오다,해안가에 개구리가 나타났어요.,바다 가깝다 곳 개구리 오다해안가에 개구리가 나타났어요.
5758,소매 날다 잃어버리다 실종,날개를 잃어버렸습니다.,소매 날다 잃어버리다 실종날개를 잃어버렸습니다.
5760,모르다 -때 책 읽다 끝,모르는 시간에 책을 읽었어,모르다 -때 책 읽다 끝모르는 시간에 책을 읽었어
5762,볼펜 쓰다 중에,볼펜을 쓰고 있어,볼펜 쓰다 중에볼펜을 쓰고 있어
5763,나 병원 자유 원하다,자유롭게 병원을 다니고 싶다,나 병원 자유 원하다자유롭게 병원을 다니고 싶다
5764,공항 방문 수고 없다,김포공항을 이용해 주셔서 편리합니다.,공항 방문 수고 없다김포공항을 이용해 주셔서 편리합니다.
5765,미안 위치 찾다 없다,위치를 찾을 수 없습니다.,미안 위치 찾다 없다위치를 찾을 수 없습니다.
5767,물 울다 없다,눈물이 없어,물 울다 없다눈물이 없어
5769,대 안 가다,대 단지 안으로 가주세요.,대 안 가다대 단지 안으로 가주세요.
5770,누가 동 중,어떤 사람이 동을 시도하고 있어요.,누가 동 중어떤 사람이 동을 시도하고 있어요.
5771,생각 해보다 가다,고려대학교로 가주세요.,생각 해보다 가다고려대학교로 가주세요.
5772,버스 곳 여기,시내버스 승강장은 여기에 있습니까?,버스 곳 여기시내버스 승강장은 여기에 있습니까?
5773,부모 나 함께 보다 -중,부모님과 함께 보고 있다,부모 나 함께 보다 -중부모님과 함께 보고 있다
5775,집 일 넘어오다,집에 일이 들어왔어요.,집 일 넘어오다집에 일이 들어왔어요.
5777,짜장 집다 가다,짜장면 집으러 갈래,짜장 집다 가다짜장면 집으러 갈래
5778,책임 일,임무를 매주세요.,책임 일임무를 매주세요.
5779,마법 사람 장난감 먹다 삼키다,마법사가 장난감을 삼켰어요.,마법 사람 장난감 먹다 삼키다마법사가 장난감을 삼켰어요.
5780,앞 차두다,앞으로 가주세요.,앞 차두다앞으로 가주세요.
5781,불 필요,불 필요하세요?,불 필요불 필요하세요?
5783,꿈 없다 잃어버리다,꿈을 잃어버리셨나요?,꿈 없다 잃어버리다꿈을 잃어버리셨나요?
5784,대답 맞다,대답 해드릴까요?,대답 맞다대답 해드릴까요?
5785,말 사용 불가능 고장,말이 안되네요.,말 사용 불가능 고장말이 안되네요.
5786,T 승용차 곳 다음 차내리다,택시정류장 지나서 내려주세요.,T 승용차 곳 다음 차내리다택시정류장 지나서 내려주세요.
5787,밤 곳 다음 보다 내리다,밤 지나서 내려주세요.,밤 곳 다음 보다 내리다밤 지나서 내려주세요.
5788,예,예를 매주세요.,예예를 매주세요.
5789,나 너 이익 손해 불가능,난 너를 이해할 수 없어,나 너 이익 손해 불가능난 너를 이해할 수 없어
5790,병원 다니다,병원에 다니다,병원 다니다병원에 다니다
5791,설명 듣다 기분 좋다,설명을 들었더니 기분이 좋다,설명 듣다 기분 좋다설명을 들었더니 기분이 좋다
5792,때리다 말,때려서 말해,때리다 말때려서 말해
5794,고양이 놀다 곳 실종,고양이를 공원에서 잃어버렸어요.,고양이 놀다 곳 실종고양이를 공원에서 잃어버렸어요.
5795,인생 대하여 말하다,인생에 대하여 말하다,인생 대하여 말하다인생에 대하여 말하다
5799,소화 잘 안되다 죽다,소화가 안되나요?,소화 잘 안되다 죽다소화가 안되나요?
5800,몸 불,몸에 불이 났어요.,몸 불몸에 불이 났어요.
5801,몸 아프다 목 말 금방,발음이 빠르다,몸 아프다 목 말 금방발음이 빠르다
5803,문 문 끼다,문에 문이 끼었어요.,문 문 끼다문에 문이 끼었어요.
5804,보물 곳 길,보물은 어디에 있나요?,보물 곳 길보물은 어디에 있나요?
5806,항공 지하철 곳 여기,공항철도는 여기서 탈 수 있습니까?,항공 지하철 곳 여기공항철도는 여기서 탈 수 있습니까?
5807,돌아가다 반갑다,돌아가서 반갑습니다.,돌아가다 반갑다돌아가서 반갑습니다.
5809,여기 하다 맞다,여기서 하는 것이 맞나요?,여기 하다 맞다여기서 하는 것이 맞나요?
5810,시작 1시간 전,1시간 내로 시작합니다.,시작 1시간 전1시간 내로 시작합니다.
5811,기술 능력 없다 심심하다,할 기능이 없어서 심심하다,기술 능력 없다 심심하다할 기능이 없어서 심심하다
5813,시간 안되다,시간이 안 쉬어져요.,시간 안되다시간이 안 쉬어져요.
5814,나 집 행복 살다,우리 집은 행복하게 살고 있다,나 집 행복 살다우리 집은 행복하게 살고 있다
5815,아이 지금 5 죽다,아이가 다섯 살이 죽었다,아이 지금 5 죽다아이가 다섯 살이 죽었다
5817,시 지다 곳 다음 여기,시청정류장 지나서 내려주세요.,시 지다 곳 다음 여기시청정류장 지나서 내려주세요.
5818,패배 깨끗하다 약속,깨끗하게 패배해라,패배 깨끗하다 약속깨끗하게 패배해라
5819,지하철 철로 쇠 돈 떨어지다,선로에 동전을 떨어뜨리셨나요?,지하철 철로 쇠 돈 떨어지다선로에 동전을 떨어뜨리셨나요?
5820,웃다 쪽 귀엽다,샐쭉 웃는 쪽이 귀엽다,웃다 쪽 귀엽다샐쭉 웃는 쪽이 귀엽다
5821,눈 -중 눈 구름 만들다 놀다,눈이 와서 눈구름을 만들다,눈 -중 눈 구름 만들다 놀다눈이 와서 눈구름을 만들다
5822,차 여기 되다,여기서 차를 탈 수 있습니다.,차 여기 되다여기서 차를 탈 수 있습니다.
5823,여기 차 되다,여기서 차를  탈 수 있습니다.,여기 차 되다여기서 차를  탈 수 있습니다.
5826,조직 모양 곳 어디,구조 승강장은 어디에 있습니까?,조직 모양 곳 어디구조 승강장은 어디에 있습니까?
5828,밤 깨끗하다,밤이 정말 맑다,밤 깨끗하다밤이 정말 맑다
5829,파랑 새 길 곳,파랑새는 어디에 있나요?,파랑 새 길 곳파랑새는 어디에 있나요?
5830,뼈 인대 상처,뼈 인대를 다친 것 같아요.,뼈 인대 상처뼈 인대를 다친 것 같아요.
5832,만두 이용 떡 만들다 먹다 끝,만두로 떡을 만들어 먹었다,만두 이용 떡 만들다 먹다 끝만두로 떡을 만들어 먹었다
5833,대 안 도착,대 단지 안으로 들어갈까요?,대 안 도착대 단지 안으로 들어갈까요?
5836,오늘 뼈곳,오늘은 어디에 있나요?,오늘 뼈곳오늘은 어디에 있나요?
5837,남자 말 궁금 물어보다,그의 말은 어떤지 물어보았다,남자 말 궁금 물어보다그의 말은 어떤지 물어보았다
5838,버튼 실종,버튼을 분실하였습니다.,버튼 실종버튼을 분실하였습니다.
5840,하다,하다,하다하다
5843,매우 밭 도착 가다,대전대학교로 갈까요?,매우 밭 도착 가다대전대학교로 갈까요?
5846,도시 가운데 곳 다음 여기,시내정류장 지나서 내려주세요.,도시 가운데 곳 다음 여기시내정류장 지나서 내려주세요.
5847,용산역 사용 되다,용산역에 사용할 수 있나요?,용산역 사용 되다용산역에 사용할 수 있나요?
5848,버스 전 저기 내리다,버스정류장 못가서 내려주세요.,버스 전 저기 내리다버스정류장 못가서 내려주세요.
5849,말 아직,아직 말 안 했나요?,말 아직아직 말 안 했나요?
5850,강아지 찾다,강아지를 찾고 있다,강아지 찾다강아지를 찾고 있다
5851,남다 생애 대학 보내다,여생을 대학에 보내다,남다 생애 대학 보내다여생을 대학에 보내다
5853,병원 전 차내리다,병원 못가서 내려주세요.,병원 전 차내리다병원 못가서 내려주세요.
5855,물 이용 떡 만들다 먹다 끝,물로 떡을 만들어 먹었다,물 이용 떡 만들다 먹다 끝물로 떡을 만들어 먹었다
